iter	Passed	Remaining
935	18386	1257
936	18412	1237
937	18427	1218
938	18443	1198
939	18460	1178
940	18477	1158
941	18493	1138
942	18510	1118
943	18526	1099
944	18540	1079
945	18554	1059
946	18570	1039
947	18588	1019
948	18603	999
949	18620	980
950	18634	960
951	18649	940
952	18664	920
953	18680	900
954	18696	881
955	18712	861
956	18729	841
957	18745	821
958	18758	801
959	18771	782
960	18785	762
961	18801	742
962	18817	723
963	18833	703
964	18847	683
965	18865	664
966	18881	644
967	18897	624
968	18911	605
969	18928	585
970	18942	565
971	18956	546
972	18970	526
973	18985	506
974	19001	487
975	19017	467
976	19033	448
977	19047	428
978	19061	408
979	19075	389
980	19091	369
981	19111	350
982	19127	330
983	19143	311
984	19157	291
985	19171	272
986	19187	252
987	19203	233
988	19218	213
989	19233	194
990	19246	174
991	19259	155
992	19274	135
993	19289	116
994	19305	97
995	19322	77
996	19336	58
997	19350	38
998	19363	19
999	19377	0
