iter	Passed	Remaining
968	23116	739
969	23131	715
970	23148	691
971	23163	667
972	23178	643
973	23195	619
974	23210	595
975	23226	571
976	23243	547
977	23259	523
978	23276	499
979	23291	475
980	23309	451
981	23324	427
982	23339	403
983	23356	379
984	23378	356
985	23394	332
986	23412	308
987	23428	284
988	23444	260
989	23460	236
990	23476	213
991	23492	189
992	23508	165
993	23525	142
994	23539	118
995	23555	94
996	23571	70
997	23587	47
998	23603	23
999	23623	0
